      15  PHL2525bp3 STCOR 0   PHL2525_cleanbaseavg.fits
GALACTIC
coordinates (deg)    8.068277e+01 -7.081694e+01
VLSR          Ta*
      -5.905e+02      -9.404e-03
      -5.893e+02       4.636e-02
      -5.881e+02       4.246e-02
      -5.869e+02       1.027e-02
      -5.857e+02       1.533e-02
      -5.845e+02       4.977e-02
      -5.833e+02       4.077e-02
      -5.820e+02       1.346e-02
      -5.808e+02       4.322e-02
      -5.796e+02       8.660e-02
      -5.784e+02       2.053e-02
      -5.772e+02      -1.057e-02
      -5.760e+02       3.717e-02
      -5.748e+02       2.130e-02
      -5.736e+02       4.090e-02
      -5.724e+02       4.511e-02
      -5.712e+02       8.108e-03
      -5.700e+02       6.685e-02
      -5.688e+02       8.664e-02
      -5.676e+02       4.959e-02
      -5.663e+02       4.095e-03
      -5.651e+02       6.568e-02
      -5.639e+02       4.475e-02
      -5.627e+02       2.265e-02
      -5.615e+02       6.510e-02
      -5.603e+02       4.613e-02
      -5.591e+02       5.041e-02
      -5.579e+02      -5.781e-03
      -5.567e+02       2.877e-02
      -5.555e+02       2.445e-02
      -5.543e+02      -2.811e-02
      -5.531e+02      -1.538e-02
      -5.519e+02       1.958e-02
      -5.506e+02       2.119e-02
      -5.494e+02       1.039e-03
      -5.482e+02       3.471e-02
      -5.470e+02      -2.839e-04
      -5.458e+02       4.939e-02
      -5.446e+02       3.308e-02
      -5.434e+02      -5.554e-03
      -5.422e+02       2.164e-02
      -5.410e+02       4.108e-02
      -5.398e+02       2.339e-02
      -5.386e+02       3.097e-02
      -5.374e+02       5.359e-02
      -5.362e+02       9.534e-03
      -5.349e+02       3.884e-04
      -5.337e+02       2.781e-03
      -5.325e+02       1.989e-02
      -5.313e+02       2.616e-02
      -5.301e+02       1.265e-02
      -5.289e+02       1.170e-03
      -5.277e+02       2.943e-02
      -5.265e+02      -5.901e-04
      -5.253e+02       1.160e-02
      -5.241e+02      -9.112e-03
      -5.229e+02      -1.543e-02
      -5.217e+02       8.111e-03
      -5.204e+02       3.200e-02
      -5.192e+02      -3.851e-03
      -5.180e+02       3.511e-03
      -5.168e+02       4.639e-03
      -5.156e+02       3.477e-02
      -5.144e+02       7.138e-03
      -5.132e+02       3.487e-02
      -5.120e+02      -6.153e-03
      -5.108e+02       2.115e-02
      -5.096e+02      -1.410e-02
      -5.084e+02      -1.072e-02
      -5.072e+02      -4.461e-03
      -5.060e+02      -1.455e-02
      -5.047e+02      -2.004e-02
      -5.035e+02       1.085e-02
      -5.023e+02       2.738e-02
      -5.011e+02       2.061e-02
      -4.999e+02      -8.882e-03
      -4.987e+02       1.761e-04
      -4.975e+02      -1.723e-02
      -4.963e+02       2.662e-02
      -4.951e+02       1.747e-02
      -4.939e+02      -2.827e-02
      -4.927e+02      -7.397e-03
      -4.915e+02      -5.455e-03
      -4.903e+02      -1.390e-02
      -4.890e+02      -2.360e-02
      -4.878e+02      -1.749e-02
      -4.866e+02      -4.683e-02
      -4.854e+02       9.917e-03
      -4.842e+02       1.742e-02
      -4.830e+02       5.180e-02
      -4.818e+02       1.992e-02
      -4.806e+02       3.842e-02
      -4.794e+02       2.361e-02
      -4.782e+02      -2.622e-02
      -4.770e+02       1.505e-02
      -4.758e+02      -2.590e-03
      -4.746e+02      -9.547e-03
      -4.733e+02      -2.969e-03
      -4.721e+02       4.582e-02
      -4.709e+02       3.283e-02
      -4.697e+02      -2.317e-02
