      27  PHL2525pp3 STCOR 0   PHL2525_cleanbaseavg.fits
GALACTIC
coordinates (deg)    8.220372e+01 -7.081595e+01
VLSR          Ta*
      -3.610e+02       7.003e-03
      -3.598e+02       1.689e-02
      -3.586e+02       1.443e-02
      -3.574e+02       3.801e-03
      -3.562e+02       8.028e-03
      -3.550e+02       5.283e-03
      -3.538e+02      -2.151e-02
      -3.526e+02      -2.057e-02
      -3.514e+02      -2.635e-02
      -3.501e+02      -2.414e-03
      -3.489e+02      -8.192e-03
      -3.477e+02      -1.734e-02
      -3.465e+02       8.001e-03
      -3.453e+02       1.598e-02
      -3.441e+02       3.397e-02
      -3.429e+02      -2.124e-02
      -3.417e+02      -1.779e-02
      -3.405e+02       1.442e-02
      -3.393e+02      -5.950e-03
      -3.381e+02       7.495e-03
      -3.369e+02       4.797e-03
      -3.357e+02       8.133e-03
      -3.344e+02      -1.219e-02
      -3.332e+02      -1.449e-02
      -3.320e+02      -1.273e-03
      -3.308e+02       1.990e-02
      -3.296e+02       2.354e-02
      -3.284e+02       1.127e-02
      -3.272e+02      -4.250e-03
      -3.260e+02       7.285e-03
      -3.248e+02       2.544e-03
      -3.236e+02      -2.485e-02
      -3.224e+02      -1.261e-02
      -3.212e+02       1.527e-02
      -3.200e+02       3.348e-03
      -3.187e+02       2.212e-02
      -3.175e+02      -2.574e-03
      -3.163e+02      -4.282e-03
      -3.151e+02      -1.692e-05
      -3.139e+02      -1.546e-02
      -3.127e+02       1.781e-03
      -3.115e+02      -1.506e-05
      -3.103e+02      -2.893e-02
      -3.091e+02       6.781e-03
      -3.079e+02       1.389e-03
      -3.067e+02       9.461e-04
      -3.055e+02       3.630e-02
      -3.042e+02       9.404e-03
      -3.030e+02       9.343e-04
      -3.018e+02       1.794e-02
      -3.006e+02      -5.950e-03
      -2.994e+02       2.262e-02
      -2.982e+02       4.437e-03
      -2.970e+02      -1.777e-02
      -2.958e+02      -2.732e-03
      -2.946e+02      -1.372e-02
      -2.934e+02      -3.498e-03
      -2.922e+02       4.049e-02
      -2.910e+02       2.837e-02
      -2.898e+02       1.728e-03
      -2.885e+02       3.704e-03
      -2.873e+02      -1.676e-02
      -2.861e+02       3.178e-02
      -2.849e+02       8.759e-03
      -2.837e+02      -5.592e-03
      -2.825e+02      -1.059e-02
      -2.813e+02      -1.079e-03
      -2.801e+02       5.332e-03
      -2.789e+02      -4.433e-04
      -2.777e+02      -1.046e-02
      -2.765e+02       1.089e-02
      -2.753e+02       4.057e-03
      -2.741e+02       4.261e-02
      -2.728e+02      -2.124e-02
      -2.716e+02      -4.643e-03
      -2.704e+02      -1.094e-04
      -2.692e+02       3.038e-03
      -2.680e+02      -1.027e-02
      -2.668e+02       9.149e-03
      -2.656e+02      -2.687e-03
      -2.644e+02      -1.230e-02
      -2.632e+02      -1.134e-02
      -2.620e+02      -2.098e-02
      -2.608e+02       4.590e-03
      -2.596e+02      -1.072e-02
      -2.584e+02       7.006e-03
      -2.571e+02      -9.498e-03
      -2.559e+02      -1.231e-03
      -2.547e+02       1.712e-02
      -2.535e+02      -1.522e-02
      -2.523e+02      -2.534e-02
      -2.511e+02       1.410e-02
      -2.499e+02       1.899e-03
      -2.487e+02       1.252e-02
      -2.475e+02       4.253e-03
      -2.463e+02       1.381e-03
      -2.451e+02      -1.118e-02
      -2.439e+02      -2.683e-02
      -2.426e+02       3.150e-02
      -2.414e+02       3.694e-02
      -2.402e+02       2.940e-02
      -2.390e+02       2.599e-03
      -2.378e+02       1.379e-02
      -2.366e+02      -2.389e-02
      -2.354e+02       8.637e-03
      -2.342e+02      -2.689e-02
      -2.330e+02      -8.576e-03
      -2.318e+02       1.357e-02
      -2.306e+02       3.741e-02
      -2.294e+02       1.015e-02
      -2.282e+02       1.121e-02
      -2.269e+02      -6.282e-03
      -2.257e+02       1.872e-03
      -2.245e+02      -2.084e-02
      -2.233e+02       1.247e-02
      -2.221e+02       2.782e-02
      -2.209e+02       3.361e-02
      -2.197e+02       1.403e-02
      -2.185e+02      -1.235e-02
      -2.173e+02      -2.090e-03
      -2.161e+02      -2.291e-02
      -2.149e+02       2.587e-02
      -2.137e+02       1.736e-02
      -2.125e+02       8.168e-03
      -2.112e+02      -1.579e-02
      -2.100e+02       1.715e-02
      -2.088e+02       5.815e-03
      -2.076e+02      -7.001e-03
      -2.064e+02      -2.283e-02
      -2.052e+02       9.142e-04
      -2.040e+02       1.349e-02
      -2.028e+02      -7.724e-03
      -2.016e+02       1.734e-02
      -2.004e+02       1.798e-02
      -1.992e+02      -4.110e-02
      -1.980e+02       1.320e-02
      -1.968e+02       7.211e-03
      -1.955e+02       5.773e-03
      -1.943e+02       1.135e-02
      -1.931e+02       8.109e-03
      -1.919e+02      -5.509e-03
      -1.907e+02       7.978e-03
      -1.895e+02       1.526e-02
      -1.883e+02       1.890e-02
      -1.871e+02       9.056e-03
      -1.859e+02       2.008e-02
