      10  PHL2525p30 STCOR   PHL2525_cleanbaseavg.fits
GALACTIC
coordinates (deg)    8.224366e+01 -7.131689e+01
VLSR          Ta*
      -5.905e+02       7.082e-02
      -5.893e+02       3.973e-02
      -5.881e+02       2.997e-02
      -5.869e+02       4.329e-02
      -5.857e+02       3.057e-02
      -5.845e+02       5.813e-02
      -5.833e+02       8.209e-03
      -5.820e+02       3.816e-02
      -5.808e+02       3.362e-02
      -5.796e+02       4.414e-02
      -5.784e+02       4.053e-02
      -5.772e+02       5.402e-02
      -5.760e+02       2.878e-02
      -5.748e+02       5.246e-02
      -5.736e+02       2.714e-02
      -5.724e+02       4.984e-02
      -5.712e+02       1.905e-04
      -5.700e+02       3.799e-02
      -5.688e+02       5.607e-02
      -5.676e+02       6.337e-02
      -5.663e+02       3.730e-02
      -5.651e+02       4.265e-02
      -5.639e+02       4.253e-02
      -5.627e+02       3.433e-02
      -5.615e+02       5.711e-02
      -5.603e+02       1.538e-02
      -5.591e+02       1.021e-02
      -5.579e+02       1.027e-02
      -5.567e+02       2.171e-02
      -5.555e+02       3.837e-02
      -5.543e+02       6.285e-02
      -5.531e+02      -3.005e-03
      -5.519e+02       3.733e-02
      -5.506e+02       2.754e-02
      -5.494e+02       4.952e-02
      -5.482e+02       1.402e-02
      -5.470e+02       1.868e-02
      -5.458e+02       1.122e-02
      -5.446e+02       3.934e-03
      -5.434e+02       6.875e-03
      -5.422e+02      -5.366e-03
      -5.410e+02       7.112e-03
      -5.398e+02       2.896e-02
      -5.386e+02       1.162e-02
      -5.374e+02       1.434e-02
      -5.362e+02       2.686e-02
      -5.349e+02       6.879e-03
      -5.337e+02       4.421e-02
      -5.325e+02      -1.901e-02
      -5.313e+02      -9.007e-03
      -5.301e+02       8.210e-04
      -5.289e+02      -2.922e-02
      -5.277e+02       2.016e-02
      -5.265e+02       1.045e-02
      -5.253e+02       1.029e-02
      -5.241e+02      -1.568e-02
      -5.229e+02       1.130e-02
      -5.217e+02       2.235e-02
      -5.204e+02       8.135e-03
      -5.192e+02       4.143e-03
      -5.180e+02      -1.273e-02
      -5.168e+02      -3.534e-02
      -5.156e+02      -8.584e-03
      -5.144e+02       2.812e-02
      -5.132e+02       2.441e-02
      -5.120e+02       9.049e-03
      -5.108e+02       2.935e-03
      -5.096e+02       5.224e-03
      -5.084e+02      -3.144e-02
      -5.072e+02      -9.297e-03
      -5.060e+02      -3.451e-04
      -5.047e+02       2.436e-02
      -5.035e+02      -4.117e-02
      -5.023e+02       1.746e-02
      -5.011e+02       6.992e-03
      -4.999e+02      -6.037e-05
      -4.987e+02      -2.890e-02
      -4.975e+02       3.264e-02
      -4.963e+02       1.812e-03
      -4.951e+02       1.586e-03
      -4.939e+02       4.594e-03
      -4.927e+02       1.223e-02
      -4.915e+02      -3.607e-02
      -4.903e+02      -2.670e-02
      -4.890e+02       2.517e-02
      -4.878e+02       2.311e-02
      -4.866e+02       2.771e-02
      -4.854e+02      -1.131e-02
      -4.842e+02      -1.931e-02
      -4.830e+02      -3.367e-03
      -4.818e+02      -1.180e-02
      -4.806e+02       6.301e-06
      -4.794e+02       7.553e-03
      -4.782e+02      -1.894e-02
      -4.770e+02       5.654e-04
      -4.758e+02      -1.486e-02
      -4.746e+02      -4.447e-02
      -4.733e+02       3.587e-03
      -4.721e+02      -5.301e-03
      -4.709e+02      -1.173e-02
      -4.697e+02      -2.957e-03
      -4.685e+02      -1.732e-02
      -4.673e+02      -1.076e-02
      -4.661e+02       3.272e-02
      -4.649e+02      -1.313e-02
      -4.637e+02      -6.035e-03
      -4.625e+02      -3.015e-03
      -4.613e+02       1.977e-02
      -4.601e+02       3.310e-03
      -4.589e+02       5.256e-02
      -4.576e+02       2.987e-02
      -4.564e+02      -1.082e-03
      -4.552e+02       6.422e-03
      -4.540e+02      -3.404e-04
      -4.528e+02       3.690e-03
      -4.516e+02      -9.268e-04
      -4.504e+02      -3.462e-02
      -4.492e+02       3.479e-02
      -4.480e+02       2.555e-02
      -4.468e+02       9.775e-03
      -4.456e+02      -7.685e-03
      -4.444e+02       3.980e-02
      -4.431e+02       2.777e-02
      -4.419e+02       2.981e-02
      -4.407e+02      -2.597e-03
      -4.395e+02       5.671e-03
      -4.383e+02       3.309e-02
      -4.371e+02       1.780e-03
      -4.359e+02      -2.293e-02
      -4.347e+02      -1.196e-04
      -4.335e+02       1.009e-02
      -4.323e+02       1.459e-03
      -4.311e+02      -2.796e-02
      -4.299e+02       5.791e-03
      -4.287e+02      -2.742e-03
      -4.274e+02       6.318e-03
      -4.262e+02       7.677e-03
      -4.250e+02      -2.018e-02
      -4.238e+02       3.430e-03
      -4.226e+02      -3.030e-03
      -4.214e+02       1.367e-02
      -4.202e+02       3.771e-03
      -4.190e+02      -1.344e-02
      -4.178e+02       5.261e-02
      -4.166e+02      -2.561e-02
      -4.154e+02      -1.995e-02
      -4.142e+02      -9.944e-03
      -4.130e+02      -2.603e-02
      -4.117e+02      -1.755e-02
      -4.105e+02       4.896e-03
      -4.093e+02      -3.279e-02
      -4.081e+02      -4.802e-03
      -4.069e+02      -5.149e-03
      -4.057e+02      -4.360e-04
      -4.045e+02       3.283e-02
      -4.033e+02      -1.453e-03
      -4.021e+02      -9.733e-03
      -4.009e+02       3.097e-02
      -3.997e+02      -2.951e-02
      -3.985e+02       7.222e-03
      -3.973e+02      -4.478e-02
      -3.960e+02      -2.128e-02
